date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:46	69764/69764	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:46%20GMT	https://www.maronicklaw.com/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/index.html	(from )
15:03:48	124393/124393	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Sep%202019%2009:33:48%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/en_US/fbevents.js	(from https://www.maronicklaw.com/)
15:03:50	137361/137361	---M-Z	200	added ('OK')	text/css	etag:%228e7a45983c5dd51:0%22	https://www.maronicklaw.com/cms/includes/h0sddod34x_.1908271804511.css	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/cms/includes/h0sddod34x_.1908271804511.css	(from https://www.maronicklaw.com/)
15:03:52	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	http://www.google-analytics.com/analytics.js	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/analytics.js	(from https://www.maronicklaw.com/)
15:03:52	8044/8044	---M--	200	added ('OK')	image/png	etag:%22428a8dc97e5ad31:0%22	https://www.maronicklaw.com/images/brand/logo.png	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/brand/logo.png	(from https://www.maronicklaw.com/)
15:03:52	251709/251709	---M--	200	added ('OK')	image/jpeg	etag:%22bccfc550b15cd31:0%22	https://www.maronicklaw.com/images/social-share-img.jpg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/social-share-img.jpg	(from https://www.maronicklaw.com/)
15:03:52	511309/511309	---MCZ	200	added ('OK')	application/javascript	etag:%228e7a45983c5dd51:0%22	https://www.maronicklaw.com/cms/includes/fpgvj2cxo8r.1908271804511.js	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/cms/includes/fpgvj2cxo8r.1908271804511.js	(from https://www.maronicklaw.com/)
15:03:53	43037/43037	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d54d7e348a6200%22	https://www.maronicklaw.com/cms/svg/agmh0e1vfm2.svg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/cms/svg/agmh0e1vfm2.svg	(from https://www.maronicklaw.com/)
15:03:53	45114/45114	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:52%20GMT	https://www.maronicklaw.com/blog/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/blog/index.html	(from https://www.maronicklaw.com/)
15:03:54	71570/71570	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:52%20GMT	https://www.maronicklaw.com/reviews/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/reviews/index.html	(from https://www.maronicklaw.com/)
15:03:54	40780/40780	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:54%20GMT	https://www.maronicklaw.com/case-results/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/case-results/index.html	(from https://www.maronicklaw.com/)
15:03:55	48286/48286	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:55%20GMT	https://www.maronicklaw.com/about-us/community-involvement/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/about-us/community-involvement/index.html	(from https://www.maronicklaw.com/)
15:03:55	48921/48921	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:55%20GMT	https://www.maronicklaw.com/about-us/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/about-us/index.html	(from https://www.maronicklaw.com/)
15:03:56	36971/36971	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:55%20GMT	https://www.maronicklaw.com/video-center/our-videos/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/video-center/our-videos/index.html	(from https://www.maronicklaw.com/)
15:03:56	127325/127325	---M--	200	added ('OK')	image/jpeg	etag:%22df279e633bebd41:0%22	https://www.maronicklaw.com/images/panels/mainstage-bg-dark.jpg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/panels/mainstage-bg-dark.jpg	(from https://www.maronicklaw.com/)
15:03:57	49448/49448	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:56%20GMT	https://www.maronicklaw.com/attorneys/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/index.html	(from https://www.maronicklaw.com/)
15:03:57	11345/11345	---M--	200	added ('OK')	image/jpeg	etag:%2222c65cbc863d31:0%22	https://www.maronicklaw.com/images/ctas/small-cta-1.jpg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/ctas/small-cta-1.jpg	(from https://www.maronicklaw.com/)
15:03:57	47880/47880	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:57%20GMT	https://www.maronicklaw.com/attorneys/zachary-benninga/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/zachary-benninga/index.html	(from https://www.maronicklaw.com/)
15:03:57	51680/51680	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:57%20GMT	https://www.maronicklaw.com/attorneys/thomas-j-maronick-jr-/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/thomas-j-maronick-jr-/index.html	(from https://www.maronicklaw.com/)
15:03:58	47493/47493	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:57%20GMT	https://www.maronicklaw.com/attorneys/henry-barnes/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/henry-barnes/index.html	(from https://www.maronicklaw.com/)
15:03:58	46603/46603	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:58%20GMT	https://www.maronicklaw.com/attorneys/steve-beadle/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/steve-beadle/index.html	(from https://www.maronicklaw.com/)
15:03:59	47501/47501	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:58%20GMT	https://www.maronicklaw.com/attorneys/mike-mastracci/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/mike-mastracci/index.html	(from https://www.maronicklaw.com/)
15:03:59	17144/17144	---M--	200	added ('OK')	image/jpeg	etag:%2258d96fbc863d31:0%22	https://www.maronicklaw.com/images/ctas/small-cta-2.jpg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/ctas/small-cta-2.jpg	(from https://www.maronicklaw.com/)
15:03:59	48663/48663	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:58%20GMT	https://www.maronicklaw.com/attorneys/richard-i-martel-jr-/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/attorneys/richard-i-martel-jr-/index.html	(from https://www.maronicklaw.com/)
15:04:00	53246/53246	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:59%20GMT	https://www.maronicklaw.com/criminal-defense/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/criminal-defense/index.html	(from https://www.maronicklaw.com/)
15:04:00	51892/51892	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:59%20GMT	https://www.maronicklaw.com/criminal-defense/dui-and-dwi/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/criminal-defense/dui-and-dwi/index.html	(from https://www.maronicklaw.com/)
15:04:00	50174/50174	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Sep%202019%2009:33:59%20GMT	https://www.maronicklaw.com/criminal-defense/bui-and-bwi/	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/criminal-defense/bui-and-bwi/index.html	(from https://www.maronicklaw.com/)
15:04:01	12701/12701	---M--	200	added ('OK')	image/jpeg	etag:%2264b187bc863d31:0%22	https://www.maronicklaw.com/images/ctas/small-cta-3.jpg	C:/Site%20Hosting%20Sites/www.maronicklaw.com/www.maronicklaw.com/images/ctas/small-cta-3.jpg	(from https://www.maronicklaw.com/)
